adult,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count,keywords
,,,,,,,,,,,,,,1960-06-16,32000000,109,en,Released,The master of suspense moves his cameras into the icy blackness of the unexplored!,Psycho,False,8.3,2405,hotel;clerk;arizona;shower;rain;motel;money;secretary;corpse;murderer;theft;private detective;proto-slasher
,,,,,,,,,,,,,,1986-08-22,52287414,89,en,Released,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand by Me,False,7.8,1568,based on novel;friendship;coming of age;railroad track;story within the story; flipping coin;campfire story;reference to superman;normandy beach;child;1950s;boys
,,,,,,,,,,,,,,1931-05-11,0,117,de,Released,,M,False,8.0,465,germany;berlin;underworld;child murderer;detective inspector;organized crime;criminal
,,,,,,,,,,,,,,1967-06-22,16217773,126,en,Released,What we've got here is failure to communicate.,Cool Hand Luke,False,7.7,390,prison;rebel;loss of mother;harassment;imprisonment;dying and death;boxing match;escape;barbed wire;punched in the face;eggs;death
,,,,,,,,,,,,,,1991-10-03,2015810,129,en;fi;fr;de;it,Released,Five Taxis. Five Cities. One Night.,Night on Earth,False,7.5,165,paris;new york;taxi;megacity;rome;dialogue;pastor;taxi driver;passenger;night life;casual meeting;metropolis;german democratic republic;casting agent;heart attack;helsinki;night;conflict;los angeles;city;finland;road movie;understanding
,,,,,,,,,,,,,,1952-03-27,8000000,85,en,Released,The story of a man who was too proud to run.,High Noon,False,7.6,343,gunslinger;showdown;fistfight;morality;u.s. marshal;battle;justice;one against many;quick draw;brawl;street shootout
,,,,,,,,,,,,,,1946-08-23,0,116,en,Released,The picture they were born for!,The Big Sleep,False,7.6,244,poison;gambling;detective;suspense;los angeles;drug;classic noir;private detective;book store;philip marlowe;missing person;film noir
,,,,,,,,,,,,,,1988-10-01,1108462,102,en;it,Released,"Best friends, social trends, and occasional murder.",Heathers,False,7.3,387,suicide;diary;friendship;high school;dark comedy;clique
,,,,,,,,,,,,,,1982-11-30,77737889,191,en;hi,Released,His triumph changed the world forever.,Gandhi,False,7.4,730,muslim;indian lead;demonstration;world war ii;imprisonment;release from prison;south africa;bravery;hunger strike;colony;morning prayer;hindu;independence;british army;political negotiations;conference;nonviolent resistance;apartheid;british empire;protest;independence movement;bombay india;strike;freedom;prayer;world religion;hinduism;mahatma gandhi;calcutta
,,,,,,,,,,,,,,1984-11-14,25504513,91,en,Released,"If Nancy Doesn't Wake Up Screaming, She Won't Wake Up At All!",A Nightmare on Elm Street,False,7.2,1212,child murderer;sleep;nightmare;supernatural;slasher;teenager;trapped;alcoholic;boiler room;booby trap;disfigurement;medical test;dreams
,,,,,,,,,,,,,,1922-03-15,0,94,,Released,A symphony of horror,Nosferatu,False,7.7,373,transylvania;shapeshifting;self sacrifice;castle;vampire;ghost ship;loss of wife;silent film;seashore;vampire bat;real estate agent;ghoul;locket;corpse in coffin; nosferatu;real estate;black death;expressionism;mountain country;sleepwalking;romania;rats
,,,,,,,,,,,,,,1996-05-13,3803298,159,en,Released,Love is a mighty power.,Breaking the Waves,False,7.2,213,underdog;scotland;prostitute;paraplegic;tradition;excommunication;authority;social coercions;society;dying and death;faith;prayer;world religion;god;priest;independent film;mother daughter relationship;church;disabled;oil platform
,,,,,,,,,,,,,,1990-07-02,240031094,124,en;es,Released,Die Harder,Die Hard 2,False,6.6,1920,ambush;helicopter;journalist;based on novel;airport;hand grenade;fistfight;cop;sequel;snow;dulles international airport;shootout;officer involved shooting;terrorism;explosion;church;violence;sabotage;walkie talkie;swat team;air traffic control;commando unit;snowmobile
,,,,,,,,,,,,,,1989-06-09,70200000,107,en,Released,Adventure and imagination will meet at the final frontier.,Star Trek V: The Final Frontier,False,5.6,384,federation;starfleet;uss enterprise-a;sha-ka-ree;loss of brother;self sacrifice;hostage;liberation of hostage;romulans;klingon;vulcan;space opera
,,,,,,,,,,,,,,1986-11-25,133000000,119,en;fi,Released,The key to saving the future can only be found in the past.,Star Trek IV: The Voyage Home,False,6.9,490,saving the world;san francisco;uss enterprise-a;time travel;whale;marine biologist;vulcan;space opera
,,,,,,,,,,,,,,1992-06-19,280000000,126,en,Released,"The Bat, the Cat, the Penguin.",Batman Returns,False,6.6,1706,holiday;corruption;double life;dc comics;crime fighter;hallucination;christmas tree;gotham city;vigilante;superhero;violence;dark hero;fictional city;super villain;super powers;deformed;bird cage;evil circus;christmas holiday
,,,,,,,,,,,,,,1996-05-05,5770254,105,cs;ru;sk,Released,,Kolya,False,7.5,46,responsability;father son relationship;socialism;fictitious marriage;revolution;despair;crematorium;language barrier;russian;childhood memory;cellist;prague;cello;disappointment;funeral;musician;ban from profession;political instability;trabant;concert;friendship;teacher;escape;best friend;single father;father figure;understanding;communism;czech republic;child
,,,,,,,,,,,,,,1997-02-14,29481428,109,en,Released,What if finding the love of your life meant changing the life that you loved?,Fools Rush In,False,5.8,133,waitress;culture clash;romantic comedy;pregnancy
,,,,,,,,,,,,,,1997-06-13,164508066,121,en;pt,Released,"As the stakes get higher, the ride gets even faster.",Speed 2: Cruise Control,False,4.1,439,boat;cruise;computer;disaster;diamond;collision course
,,,,,,,,,,,,,,1997-06-19,299288605,105,en;fr;it,Released,It's about finding the love of your life. And deciding what to do about it.,My Best Friend's Wedding,False,6.4,606,karaoke;marriage proposal;new love;love of one's life;kiss;man-woman relation;secret love;wedding
,,,,,,,,,,,,,,1963-10-21,528428,103,en;fr;de;it,Released,"More Bold! More Brazen! And Much, Much More Bardot!",Contempt,False,7.5,138,love triangle;italy;film business;capri;cinecittà;villa;film making;film producer;screenwriter;jealousy;car crash;divorce
,,,,,,,,,,,,,,1997-09-11,43101594,155,en,Released,"The life of a dreamer, the days of a business, and the nights in between.",Boogie Nights,False,7.5,812,pornography;sex;porn actor;pornographic video;from rags to riches;drug;porn industry;gay lead character
,,,,,,,,,,,,,,1997-11-18,1845034188,194,en;fr;de;sv;it;ru,Released,Nothing on Earth could come between them.,Titanic,False,7.5,7770,shipwreck;iceberg;ship;panic;titanic;ocean liner;epic;rich woman - poor man;love;disaster;tragic love;class differences;imax;star crossed lovers;steerage;salvage;rich snob;3d;1910s
,,,,,,,,,,,,,,1997-12-25,64256513,97,sq;en,Released,"A comedy about truth, justice and other special effects.",Wag the Dog,False,6.7,273,washington d.c.;rape;cia;usa president;war veteran;staging;film maker;albania;sex scandal;senator;presidential election;gulf war;media adviser;manipulation of the media;election campaign;government;war;soldier;extramarital affair
,,,,,,,,,,,,,,1998-07-01,553799566,151,en;ru,Released,The Earth's Darkest Day Will Be Man's Finest Hour,Armageddon,False,6.5,2540,saving the world;paris;moon;cataclysm;asteroid;self sacrifice;nasa;space marine;loss of father;daughter;space;wedding;astronaut;eiffel tower paris;duringcreditsstinger;disaster movie;space centre
,,,,,,,,,,,,,,1988-12-11,412800000,133,it;en,Released,A journey through understanding and fellowship.,Rain Man,False,7.6,1762,individual;mentally disabled;autism;loss of father;yuppie;car dealer;egocentrism;travel;convertible;psychiatrist;duringcreditsstinger;savant
,,,,,,,,,,,,,,1971-06-21,0,114,en,Released,You'd never take her for a call girl. You'd never take him for a cop.,Klute,False,6.5,88,new york;prostitute;detective;cat;obsession;pimp;junkie;perversity;audio tape;suspense;psychologist;missing person;spectacle
,,,,,,,,,,,,,,1927-01-10,650422,153,xx,Released,There can be no understanding between the hands and the brain unless the heart acts as mediator.,Metropolis,False,8.0,666,man vs machine;underground world;inventor;metropolis;worker;future;machine town;work;class society;dystopia;tower of babel;delirium;chase scene;mad scientist;prophet;robot;destruction;silent film;depravity;masterpiece;downtrodden;saviour
,,,,,,,,,,,,,,1989-11-20,332000000,108,en,Released,"Roads? Where we're going, we don't need roads!",Back to the Future Part II,False,7.4,3926,skateboarding;flying car;car race;delorean;lightning;almanac;inventor;time travel;sequel;diner;alternate history;teenager;electric guitar;walking cane;high school dance;hoverboard;video phone
,,,,,,,,,,,,,,1990-05-25,244527583,118,en,Released,They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,False,7.1,2978,railroad robber;california;delorean;indian territory;sports car;inventor;locomotive;saloon;horseback riding;time travel;outlaw;sequel;mad scientist;native american;western;shootout;gunfight;train;wild west;cavalry
,,,,,,,,,,,,,,1972-12-01,84563118,117,en,Released,Who will survive-in one of the greatest escape adventures ever!,The Poseidon Adventure,False,7.3,274,life and death;prostitute;new year's eve;sea;brother sister relationship;wife husband relationship;wave;shipwreck;cruise;seaquake;ship;faith;travel;disaster;capsized ship;disaster film;disaster movie
,,,,,,,,,,,,,,1968-06-12,33395426,136,en,Released,Pray for Rosemary's Baby,Rosemary's Baby,False,7.5,892,anti-christ;contemporary setting;laundry;occult;demonic possession;satanic cult;lucky charm;woman in jeopardy;eating disorder;catholic priest
,,,,,,,,,,,,,,1988-02-29,73326666,92,en,Released,He's guaranteed to put some life in your afterlife.,Beetlejuice,False,7.1,1475,minister;giant snake;skeleton;calypso;arts;afterlife;child bride;possession;surrealism;teenage girl;ghost
,,,,,,,,,,,,,,1948-08-23,2200000,80,en,Released,,Rope,False,7.8,539,planned murder;banquet;victim of murder;footlocker;strangle;rope;suspense;based on play or musical;long take
,,,,,,,,,,,,,,1937-11-01,0,83,en,Released,A Brilliant Melodrama,Young and Innocent,False,6.8,42,falsely accused;country house;murder;suspense
,,,,,,,,,,,,,,1929-06-30,0,84,en,Released,See and Hear It - Our Mother Tongue As It Should Be Spoken,Blackmail,False,6.8,45,scotland yard;blackmail;knife;gloves
,,,,,,,,,,,,,,1988-08-19,21486757,104,en,Released,They're her family... Whether she likes it or not.,Married to the Mob,False,5.8,67,fbi;romantic comedy;mobster;italian american;starting over
,,,,,,,,,,,,,,1989-04-14,20036737,100,en,Released,To know Lloyd Dobler is to love him. Diane Court is about to know Lloyd Dobler.,Say Anything...,False,7.2,244,england;seattle;daughter;high school;kickboxer
,,,,,,,,,,,,,,1998-09-17,0,124,en,Released,Nothing is as simple as black and white.,Pleasantville,False,7.1,498,brother sister relationship;tv show;dystopia;book burning;satire;coming of age;racism;black and white;alternate reality;colour
,,,,,,,,,,,,,,1998-01-21,6451628,105,en;hu,Released,,Gods and Monsters,False,6.8,82,gay;film director;dying and death;biography;homosexuality;author;lgbt elderly
,,,,,,,,,,,,,,1988-05-24,189015611,102,en;ru,Released,The first was for himself. The second for his country. This time it's to save his friend.,Rambo III,False,5.7,703,competition;submachine gun;soviet union;liberation;russian;soviet troops;thailand;freedom fighter;afghanistan;war on freedom;machinegun;mujahid;reality show;western;japanese food;soap opera
,,,,,,,,,,,,,,1985-11-21,300473716,91,en,Released,He's facing the ultimate challenge. And fighting for his life.,Rocky IV,False,6.6,984,usa;transporter;loss of lover;cold war;soviet union;boxer;kgb;dying and death;loss of powers;boxing match;training;matter of life and death;sibiria;friendship;victory;sport;revenge
,,,,,,,,,,,,,,1999-03-12,93888180,105,en,Released,"He went from the eye of the storm, into the arms of a hurricane.",Forces of Nature,False,5.1,141,cataclysm;airplane;single;travel;wedding;storm;extramarital affair;woman director
,,,,,,,,,,,,,,1999-05-13,363889678,124,en;es,Released,Can the most famous film star in the world fall for the man on the street?,Notting Hill,False,7.0,1309,london england;bookshop;birthday;new love;film maker;paparazzi;press conference;wheelchair;bath tub;cohabitant;friendship;fame;celebration;movie star;spectacle
,,,,,,,,,,,,,,1999-04-16,18564088,100,en,Released,Question reality. You can go there even though it doesn't exist.,The Thirteenth Floor,False,6.8,381,artificial intelligence;simulation;computer program;virtual reality;dystopia;murder;los angeles
,,,,,,,,,,,,,,1998-08-20,7267585,81,de;en;ja,Released,Every second of every day you're faced with a decision that can change your life.,Run Lola Run,False,7.2,672,berlin;casino;nun;red hair;running;homeless person;supermarket;ambulance;subway;daughter;money;fate
,,,,,,,,,,,,,,1999-03-19,0,117,en,Released,Your Paranoia Is Real.,Arlington Road,False,7.0,246,bomb;terrorist;fbi;professor;paranoia;college;wife;politics;army;murder;suspense;neighbor;agent;blueprint;classified;neo-noir
,,,,,,,,,,,,,,1962-06-13,9250000,153,en,Released,How did they ever make a movie of ...,Lolita,False,7.3,409,sexual obsession;hotel;depression;loss of mother;small town;flirt;midlife crisis;eroticism;youngster;lolita;motel;diary;seduction;forbidden love;professor for literature;provocation;fascination;one-sided love;widow;adoptive father;loss of husband;summer camp;secret love
,,,,,,,,,,,,,,1975-12-18,20000000,184,de;fr;en,Released,At long last Redmond Barry became a gentleman - and that was his tragedy.,Barry Lyndon,False,7.7,521,palace;british army;fencing;epic;debt;ireland;british soldier;seven years war;nobility;prussia
,,,,,,,,,,,,,,1987-02-06,0,107,en,Released,,Light of Day,False,5.4,10,brother sister relationship;cleveland;musical;rock;cancer;mother daughter relationship;conflict
,,,,,,,,,,,,,,1999-08-06,672806292,107,la;es;en,Released,Not every gift is a blessing.,The Sixth Sense,False,7.7,3223,child abuse;sense of guilt;loss of child;confidence;psychology;dying and death;marriage crisis;afterlife;single;paranormal phenomena;cowardliness;child;spiritism
,,,,,,,,,,,,,,1999-08-06,124305181,113,en,Released,How do you get the man who has everything?,The Thomas Crown Affair,False,6.7,349,martinique;claude monet;famous painting;glider;insurance agent;missing painting;stolen painting;valuable painting;rich people
,,,,,,,,,,,,,,1968-06-19,0,102,en,Released,,The Thomas Crown Affair,False,6.9,95,in love with enemy;hold-up robbery;boredom;insurance salesman;business man;insurance fraud;plan;heist;theft;millionaire
,,,,,,,,,,,,,,1998-05-08,0,88,en,Released,Two's Company. Three's a Crowd. Four's a Disaster.,The Very Thought of You,False,5.0,11,london england;independent film
,,,,,,,,,,,,,,1997-04-04,0,102,en,Released,Life Gets Complicated When You Love One Woman And Worship Eleven Men,Fever Pitch,False,6.1,53,london england;relationship problems;sport;arsenal london;jogging;teacher;soccer;dating
,,,,,,,,,,,,,,1973-07-05,161777836,121,en;hu,Released,Roger Moore is James Bond.,Live and Let Die,False,6.4,540,london england;new york;bomb;england;spy;sheriff;dual identity;secret identity;boat;drug traffic;tarot cards;heroin;crocodile;jamaica;secret mission;secret intelligence service;drug smuggle;voodoo;tombstone;aftercreditsstinger
,,,,,,,,,,,,,,1940-03-15,0,129,en,Released,The most discussed book in years - now comes to the screen to become the most discussed picture in ages,The Grapes of Wrath,False,7.8,211,california;capitalism;home;ex-detainee;oklahoma;farm;great depression;jail;pregnant woman;road movie
,,,,,,,,,,,,,,1992-10-09,43440294,123,en,Released,The Story of an American Family.,A River Runs Through It,False,7.0,241,individual;brother brother relationship;gambling;montana;journalist;prohibition;fishing;fly fishing;pastor
,,,,,,,,,,,,,,1999-12-10,284600000,189,fr;en,Released,Miracles do happen.,The Green Mile,False,8.2,4166,southern usa;black people;mentally disabled;based on novel;heal;death row;jail guard;great depression;prison guard;electric chair;magic realism;healing;death row inmate;1930s
,,,,,,,,,,,,,,1999-12-25,128798265,139,en;it,Released,How far would you go to become someone else?,The Talented Mr. Ripley,False,7.1,790,venice;italy;gay;new york;lovesickness;double life;dual identity;jealousy;secret identity;new love;homicide;atlantic ocean;new identity;planned murder;prosecution;yacht;ship;inferiority;false identity;beguilement;rejection;inferiority complex;ocean liner;friendship;homosexuality;wealth;cowardliness;envy
,,,,,,,,,,,,,,1992-05-28,231605150,100,en,Released,No booze! No sex! No drugs!... No way!,Sister Act,False,6.5,713,church choir;witness protection;musical;gospel;concert;murder;singer;witness to murder;monastery
,,,,,,,,,,,,,,1992-06-03,4160851,134,en,Released,Meet Laura Palmer... In a town where nothing is as it seems... And everyone has something to hide.,Twin Peaks: Fire Walk with Me,False,7.3,429,detective;sexual abuse;bar;small town;orgy;surreal;investigation;supernatural;murder;suspense;based on tv series;rural setting;prostitution;drugs and addiction;disturbed teenager;cameos
,,,,,,,,,,,,,,1956-03-13,0,119,es;en;nv,Released,He had to find her... he had to find her...,The Searchers,False,7.7,332,drama;native american;civil war veteran
,,,,,,,,,,,,,,1975-03-07,0,106,ru,Released,,Mirror,False,7.8,147,memoirs
,,,,,,,,,,,,,,1990-11-02,25965144,113,en,Released,The most frightening thing about Jacob Singer's nightmare is that he isn't dreaming.,Jacob's Ladder,False,7.3,376,violence;postal worker;figment of imagination;oneiric
,,,,,,,,,,,,,,1972-03-20,0,167,ru,Released,,Solaris,False,7.7,364,1970s;loss of sense of reality;extraterrestrial technology;subconsciousness;russian;hallucination;space travel;astronaut;soviet
,,,,,,,,,,,,,,1958-12-25,0,106,en;fr,Released,Getting Here is Half the Fun,"Bell, Book and Candle",False,6.4,37,witch;cat;love of one's life
,,,,,,,,,,,,,,1989-07-31,126297830,124,en,Released,"A comedy about life, love and the gentle art of raising children.",Parenthood,False,6.4,177,parent child relationship;kids
,,,,,,,,,,,,,,1966-06-15,0,95,en,Released,,The Endless Summer,False,7.8,23,surfer;surfboard;surfing
,,,,,,,,,,,,,,1955-12-14,0,119,en;es,Released,,The Man with the Golden Arm,False,6.9,51,prison;poker;gambling;underground world;sense of guilt;jazz;drug dealer;rehabilitation;junkie;wheelchair;suspicion of murder;cold turkey;ex-lover;drums;insanity
,,,,,,,,,,,,,,1974-04-07,4420000,113,en,Released,Harry Caul is an invader of privacy. The best in the business.,The Conversation,False,7.5,377,san francisco;paranoia;audio tape;wiretap;shadowing
,,,,,,,,,,,,,,1973-06-14,1458000,112,en,Released,Shaft is stickin' it...all the way.,Shaft in Africa,False,5.4,6,paris;africa;illegal immigration;ethiopia;human trafficking;language course;circumcision;blaxploitation
,,,,,,,,,,,,,,2000-09-15,47383689,122,en,Released,Experience it. Enjoy it. Just don't fall for it.,Almost Famous,False,7.4,807,hotel room;san diego;drug addiction;stewardess;overdose;groupie;music journalist;rock;heavy metal;concert;swimming pool;based on true story;promiscuity;coming of age;on the road;domineering mother;reconciliation;semi autobiographical;innocence lost;bus trip;aspiring writer
,,,,,,,,,,,,,,2000-05-17,40031879,140,en,Released,You don't need eyes to see.,Dancer in the Dark,False,7.7,392,individual;dancing;usa;robbery;factory worker;secret;factory;small town;dance;blindness and impaired vision;death penalty;immigrant;eye operation;eyesight;fantasy;naivety;self-abandonment;hereditary disease;loss of eyesight;czech;dying and death;van;friendship;murder;teacher;debt;execution;crime;police officer
,,,,,,,,,,,,,,1971-03-03,0,112,en,Released,What happens when a professional killer violates the code? Get Carter!,Get Carter,False,6.9,122,hitman;british;gritty
,,,,,,,,,,,,,,1987-06-29,191185897,130,en;ar;fr;de;ru;cs;sk,Released,Licensed to thrill.,The Living Daylights,False,6.2,447,london england;smuggling of arms;prison;england;assassination;spy;falsely accused;secret identity;country estate;arms deal;russia;drug traffic;secret mission;secret intelligence service;kgb;villain;renegade;special car;tangier morocco;big wheel;pipeline;cello;orchestra;freedom fighter;czechoslovakia;bratislava;afghanistan;airplane;schloss schönbrunn;escape;moscow;vienna
,,,,,,,,,,,,,,2000-02-09,0,122,en,Released,,The Million Dollar Hotel,False,5.9,76,hotel;confidence;junkie;book;friendship;insanity;los angeles;drug;fbi agent
,,,,,,,,,,,,,,1990-10-05,0,126,yi;en,Released,Three generations of family. They shared a dream called America in a place called Avalon.,Avalon,False,6.0,19,usa;russia;jew;rabbi;synagogue;bar mitvah;emigrant
,,,,,,,,,,,,,,1983-12-08,65884703,170,en;es,Released,The world is yours...,Scarface,False,8.0,3017,miami;corruption;capitalism;cuba;prohibition;brother sister relationship;loss of sister;cocaine;cult film;bitterness
,,,,,,,,,,,,,,2000-09-11,0,92,fr,Released,Can love vanish without a trace?,Under the Sand,False,6.4,31,beach;wife husband relationship;sadness;disappearance
,,,,,,,,,,,,,,1991-07-12,83531958,120,en,Released,Twenty-seven banks in three years. Anything to catch the perfect wave.,Point Break,False,6.9,861,surfer;undercover;wave;surfboard;self-destruction;self-discovery;parachute;police operation;parachuting;moral conflict;los angeles;fbi agent;woman director
,,,,,,,,,,,,,,1988-10-21,0,69,fi;de,Released,,Ariel,False,7.1,44,underdog;prison;factory worker;prisoner;helsinki;independent film;falling in love
,,,,,,,,,,,,,,1988-06-17,43455230,91,en,Released,"The wildlife is wild, but his brother-in-law in unbearable.",The Great Outdoors,False,6.4,155,holiday;roommate;attachment to nature;grizzly bear;best friend
,,,,,,,,,,,,,,1989-01-13,2777280,109,en,Released,,Gleaming the Cube,False,5.4,31,skateboarding;los angeles;skateboard
,,,,,,,,,,,,,,2000-03-03,0,114,it,Released,,Bread and Tulips,False,7.0,35,venice;suicide;dancing;mother;depression;wife husband relationship;amateur detective;trip;married couple;tango;pescara;bus ride;accordion;florist;flower shop;plumbing supplier;roadhouse;family's daily life;mother role;oddball;mystic;self-discovery;mother-in-law;marriage crisis;marriage;freedom;little boy;family holiday;hitchhike
,,,,,,,,,,,,,,2001-08-17,62112895,131,en;de;el;it,Released,,Captain Corelli's Mandolin,False,5.6,146,officer;greek island;mandolin;italian soldier;resistance fighter;greek history;italian army;allied forces
,,,,,,,,,,,,,,2001-10-19,27642707,131,en,Released,A Castle Can Only Have One King,The Last Castle,False,7.0,290,prison;general
,,,,,,,,,,,,,,2001-01-18,1270522,113,en,Released,You can never go too far,Donnie Darko,False,7.7,3574,parent child relationship;airplane;time travel;school presentation;school performance;suburbia;vision;morality;teenager
